"Site","Mark","Individual","Orientation","Altitude","Plot","ID","Site_Plot","Date","Days","Emergence","Emergence.overall"
"ND1","A17","i","N","D","A","ND1 A17 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","A18","d","N","D","A","ND1 A18 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A18","i","N","D","A","ND1 A18 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","A19","d","N","D","A","ND1 A19 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A19","i","N","D","A","ND1 A19 i","ND1 A",2018-05-22,51,1,TRUE
"ND1","A20","d","N","D","A","ND1 A20 d","ND1 A",2018-06-08,68,1,TRUE
"ND1","A20","i","N","D","A","ND1 A20 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","B01","d","N","D","B","ND1 B01 d","ND1 B",2018-08-28,149,1,TRUE
"ND1","B01","i","N","D","B","ND1 B01 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B02","d","N","D","B","ND1 B02 d","ND1 B",2018-08-28,149,1,TRUE
"ND1","B02","i","N","D","B","ND1 B02 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B03","d","N","D","B","ND1 B03 d","ND1 B",2018-07-05,95,1,TRUE
"ND1","B03","i","N","D","B","ND1 B03 i","ND1 B",2018-06-08,68,1,TRUE
"ND1","B04","d","N","D","B","ND1 B04 d","ND1 B",2018-06-08,68,1,TRUE
"ND1","B04","i","N","D","B","ND1 B04 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B05","d","N","D","B","ND1 B05 d","ND1 B",2018-06-08,68,1,TRUE
"ND1","B05","i","N","D","B","ND1 B05 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B06","d","N","D","B","ND1 B06 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B06","i","N","D","B","ND1 B06 i","ND1 B",2018-08-28,149,1,TRUE
"ND1","B07","d","N","D","B","ND1 B07 d","ND1 B",2018-06-08,68,1,TRUE
"ND1","B07","i","N","D","B","ND1 B07 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B08","d","N","D","B","ND1 B08 d","ND1 B",2018-07-05,95,1,TRUE
"ND1","B08","i","N","D","B","ND1 B08 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B09","d","N","D","B","ND1 B09 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B09","i","N","D","B","ND1 B09 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B10","d","N","D","B","ND1 B10 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B10","i","N","D","B","ND1 B10 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B11","d","N","D","B","ND1 B11 d","ND1 B",2018-07-05,95,1,TRUE
"ND1","B11","i","N","D","B","ND1 B11 i","ND1 B",2018-06-08,68,1,TRUE
"ND1","B12","d","N","D","B","ND1 B12 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B12","i","N","D","B","ND1 B12 i","ND1 B",2018-07-05,95,1,TRUE
"ND1","B13","d","N","D","B","ND1 B13 d","ND1 B",2018-07-05,95,1,TRUE
"ND1","B13","i","N","D","B","ND1 B13 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B14","d","N","D","B","ND1 B14 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B14","i","N","D","B","ND1 B14 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B15","d","N","D","B","ND1 B15 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B15","i","N","D","B","ND1 B15 i","ND1 B",2018-06-08,68,1,TRUE
"ND1","B16","d","N","D","B","ND1 B16 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B16","i","N","D","B","ND1 B16 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B17","d","N","D","B","ND1 B17 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B17","i","N","D","B","ND1 B17 i","ND1 B",2018-06-08,68,1,TRUE
"ND1","B18","d","N","D","B","ND1 B18 d","ND1 B",2018-06-08,68,1,TRUE
"ND1","B18","i","N","D","B","ND1 B18 i","ND1 B",2018-06-08,68,1,TRUE
"ND1","B19","d","N","D","B","ND1 B19 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B19","i","N","D","B","ND1 B19 i","ND1 B",2019-01-28,302,0,FALSE
"ND1","B20","d","N","D","B","ND1 B20 d","ND1 B",2019-01-28,302,0,FALSE
"ND1","B20","i","N","D","B","ND1 B20 i","ND1 B",2018-06-08,68,1,TRUE
"ND1","C01","d","N","D","C","ND1 C01 d","ND1 C",2018-07-05,95,1,TRUE
"ND1","C01","i","N","D","C","ND1 C01 i","ND1 C",2018-06-08,68,1,TRUE
"ND1","C02","d","N","D","C","ND1 C02 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C02","i","N","D","C","ND1 C02 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C03","d","N","D","C","ND1 C03 d","ND1 C",2018-07-05,95,1,TRUE
"ND1","C03","i","N","D","C","ND1 C03 i","ND1 C",2018-07-05,95,1,TRUE
"ND1","C04","d","N","D","C","ND1 C04 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C04","i","N","D","C","ND1 C04 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C05","d","N","D","C","ND1 C05 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C05","i","N","D","C","ND1 C05 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C06","d","N","D","C","ND1 C06 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C06","i","N","D","C","ND1 C06 i","ND1 C",2018-12-07,250,1,TRUE
"ND1","C07","d","N","D","C","ND1 C07 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C07","i","N","D","C","ND1 C07 i","ND1 C",2018-07-05,95,1,TRUE
"ND1","C08","d","N","D","C","ND1 C08 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C08","i","N","D","C","ND1 C08 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C09","d","N","D","C","ND1 C09 d","ND1 C",2018-07-05,95,1,TRUE
"ND1","C09","i","N","D","C","ND1 C09 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C10","d","N","D","C","ND1 C10 d","ND1 C",2018-07-05,95,1,TRUE
"ND1","C10","i","N","D","C","ND1 C10 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C11","d","N","D","C","ND1 C11 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C11","i","N","D","C","ND1 C11 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C12","d","N","D","C","ND1 C12 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C12","i","N","D","C","ND1 C12 i","ND1 C",2018-06-08,68,1,TRUE
"ND1","C13","d","N","D","C","ND1 C13 d","ND1 C",2018-05-22,51,1,TRUE
"ND1","C13","i","N","D","C","ND1 C13 i","ND1 C",2018-05-22,51,1,TRUE
"ND1","C14","d","N","D","C","ND1 C14 d","ND1 C",2018-06-08,68,1,TRUE
"ND1","C14","i","N","D","C","ND1 C14 i","ND1 C",2018-05-22,51,1,TRUE
"ND1","C15","d","N","D","C","ND1 C15 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C15","i","N","D","C","ND1 C15 i","ND1 C",2018-07-05,95,1,TRUE
"ND1","C16","d","N","D","C","ND1 C16 d","ND1 C",2018-06-08,68,1,TRUE
"ND1","C16","i","N","D","C","ND1 C16 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C17","d","N","D","C","ND1 C17 d","ND1 C",2018-06-08,68,1,TRUE
"ND1","C17","i","N","D","C","ND1 C17 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C18","d","N","D","C","ND1 C18 d","ND1 C",2019-01-28,302,0,FALSE
"ND1","C18","i","N","D","C","ND1 C18 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C19","d","N","D","C","ND1 C19 d","ND1 C",2018-09-24,176,1,TRUE
"ND1","C19","i","N","D","C","ND1 C19 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","C20","d","N","D","C","ND1 C20 d","ND1 C",2018-06-08,68,1,TRUE
"ND1","C20","i","N","D","C","ND1 C20 i","ND1 C",2019-01-28,302,0,FALSE
"ND1","D01","d","N","D","D","ND1 D01 d","ND1 D",2018-07-05,95,1,TRUE
"ND1","D01","i","N","D","D","ND1 D01 i","ND1 D",2018-06-08,68,1,TRUE
"ND1","D02","d","N","D","D","ND1 D02 d","ND1 D",2018-07-05,95,1,TRUE
"ND1","D02","i","N","D","D","ND1 D02 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D03","d","N","D","D","ND1 D03 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D03","i","N","D","D","ND1 D03 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D04","d","N","D","D","ND1 D04 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D04","i","N","D","D","ND1 D04 i","ND1 D",2018-06-08,68,1,TRUE
"ND1","D05","d","N","D","D","ND1 D05 d","ND1 D",2018-06-08,68,1,TRUE
"ND1","D05","i","N","D","D","ND1 D05 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D06","d","N","D","D","ND1 D06 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D06","i","N","D","D","ND1 D06 i","ND1 D",2018-07-05,95,1,TRUE
"ND1","D07","d","N","D","D","ND1 D07 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D07","i","N","D","D","ND1 D07 i","ND1 D",2018-06-08,68,1,TRUE
"ND1","D08","d","N","D","D","ND1 D08 d","ND1 D",2018-06-08,68,1,TRUE
"ND1","D08","i","N","D","D","ND1 D08 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D09","d","N","D","D","ND1 D09 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D09","i","N","D","D","ND1 D09 i","ND1 D",2018-07-05,95,1,TRUE
"ND1","D10","d","N","D","D","ND1 D10 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D10","i","N","D","D","ND1 D10 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D11","d","N","D","D","ND1 D11 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D11","i","N","D","D","ND1 D11 i","ND1 D",2018-06-08,68,1,TRUE
"ND1","D12","d","N","D","D","ND1 D12 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D12","i","N","D","D","ND1 D12 i","ND1 D",2018-06-08,68,1,TRUE
"ND1","D13","d","N","D","D","ND1 D13 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D13","i","N","D","D","ND1 D13 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D14","d","N","D","D","ND1 D14 d","ND1 D",2018-06-08,68,1,TRUE
"ND1","D14","i","N","D","D","ND1 D14 i","ND1 D",2018-06-08,68,1,TRUE
"ND1","D15","d","N","D","D","ND1 D15 d","ND1 D",2018-06-08,68,1,TRUE
"ND1","D15","i","N","D","D","ND1 D15 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D16","d","N","D","D","ND1 D16 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D16","i","N","D","D","ND1 D16 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D17","d","N","D","D","ND1 D17 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D17","i","N","D","D","ND1 D17 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D18","d","N","D","D","ND1 D18 d","ND1 D",2018-06-08,68,1,TRUE
"ND1","D18","i","N","D","D","ND1 D18 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","D19","d","N","D","D","ND1 D19 d","ND1 D",2018-06-08,68,1,TRUE
"ND1","D19","i","N","D","D","ND1 D19 i","ND1 D",2018-06-08,68,1,TRUE
"ND1","D20","d","N","D","D","ND1 D20 d","ND1 D",2019-01-28,302,0,FALSE
"ND1","D20","i","N","D","D","ND1 D20 i","ND1 D",2019-01-28,302,0,FALSE
"ND1","E01","d","N","D","E","ND1 E01 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E01","i","N","D","E","ND1 E01 i","ND1 E",2018-05-22,51,1,TRUE
"ND1","E02","d","N","D","E","ND1 E02 d","ND1 E",2018-05-22,51,1,TRUE
"ND1","E02","i","N","D","E","ND1 E02 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E03","d","N","D","E","ND1 E03 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E03","i","N","D","E","ND1 E03 i","ND1 E",2018-05-22,51,1,TRUE
"ND1","E04","d","N","D","E","ND1 E04 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E04","i","N","D","E","ND1 E04 i","ND1 E",2018-05-22,51,1,TRUE
"ND1","E05","d","N","D","E","ND1 E05 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E05","i","N","D","E","ND1 E05 i","ND1 E",2018-05-22,51,1,TRUE
"ND1","E06","d","N","D","E","ND1 E06 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E06","i","N","D","E","ND1 E06 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E07","d","N","D","E","ND1 E07 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E07","i","N","D","E","ND1 E07 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E08","d","N","D","E","ND1 E08 d","ND1 E",2018-06-08,68,1,TRUE
"ND1","E08","i","N","D","E","ND1 E08 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E09","d","N","D","E","ND1 E09 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E09","i","N","D","E","ND1 E09 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E10","d","N","D","E","ND1 E10 d","ND1 E",2018-05-22,51,1,TRUE
"ND1","E10","i","N","D","E","ND1 E10 i","ND1 E",2018-05-22,51,1,TRUE
"ND1","E11","d","N","D","E","ND1 E11 d","ND1 E",2018-05-22,51,1,TRUE
"ND1","E11","i","N","D","E","ND1 E11 i","ND1 E",2018-05-22,51,1,TRUE
"ND1","E12","d","N","D","E","ND1 E12 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E12","i","N","D","E","ND1 E12 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E13","d","N","D","E","ND1 E13 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E13","i","N","D","E","ND1 E13 i","ND1 E",2018-05-22,51,1,TRUE
"ND1","E14","d","N","D","E","ND1 E14 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E14","i","N","D","E","ND1 E14 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E15","d","N","D","E","ND1 E15 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E15","i","N","D","E","ND1 E15 i","ND1 E",2018-06-08,68,1,TRUE
"ND1","E16","d","N","D","E","ND1 E16 d","ND1 E",2018-06-08,68,1,TRUE
"ND1","E16","i","N","D","E","ND1 E16 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E17","d","N","D","E","ND1 E17 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E17","i","N","D","E","ND1 E17 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E18","d","N","D","E","ND1 E18 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E18","i","N","D","E","ND1 E18 i","ND1 E",2018-06-08,68,1,TRUE
"ND1","E19","d","N","D","E","ND1 E19 d","ND1 E",2019-01-28,302,0,FALSE
"ND1","E19","i","N","D","E","ND1 E19 i","ND1 E",2019-01-28,302,0,FALSE
"ND1","E20","d","N","D","E","ND1 E20 d","ND1 E",2018-06-08,68,1,TRUE
"ND1","E20","i","N","D","E","ND1 E20 i","ND1 E",2019-01-28,302,0,FALSE
"ND2","A01","d","N","D","A","ND2 A01 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A01","i","N","D","A","ND2 A01 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A02","d","N","D","A","ND2 A02 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A02","i","N","D","A","ND2 A02 i","ND2 A",2018-06-08,68,1,TRUE
"ND2","A03","d","N","D","A","ND2 A03 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A03","i","N","D","A","ND2 A03 i","ND2 A",2018-06-08,68,1,TRUE
"ND2","A04","d","N","D","A","ND2 A04 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A04","i","N","D","A","ND2 A04 i","ND2 A",2018-06-08,68,1,TRUE
"ND2","A05","d","N","D","A","ND2 A05 d","ND2 A",2018-06-08,68,1,TRUE
"ND2","A05","i","N","D","A","ND2 A05 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A06","d","N","D","A","ND2 A06 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A06","i","N","D","A","ND2 A06 i","ND2 A",2018-07-27,117,1,TRUE
"ND2","A07","d","N","D","A","ND2 A07 d","ND2 A",2018-09-24,176,1,TRUE
"ND2","A07","i","N","D","A","ND2 A07 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A08","d","N","D","A","ND2 A08 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A08","i","N","D","A","ND2 A08 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A09","d","N","D","A","ND2 A09 d","ND2 A",2018-06-08,68,1,TRUE
"ND2","A09","i","N","D","A","ND2 A09 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A10","d","N","D","A","ND2 A10 d","ND2 A",2018-06-08,68,1,TRUE
"ND2","A10","i","N","D","A","ND2 A10 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A11","d","N","D","A","ND2 A11 d","ND2 A",2018-07-05,95,1,TRUE
"ND2","A11","i","N","D","A","ND2 A11 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A12","d","N","D","A","ND2 A12 d","ND2 A",2018-06-08,68,1,TRUE
"ND2","A12","i","N","D","A","ND2 A12 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A13","d","N","D","A","ND2 A13 d","ND2 A",2018-06-08,68,1,TRUE
"ND2","A13","i","N","D","A","ND2 A13 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A14","d","N","D","A","ND2 A14 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A14","i","N","D","A","ND2 A14 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A15","d","N","D","A","ND2 A15 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A15","i","N","D","A","ND2 A15 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A16","d","N","D","A","ND2 A16 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A16","i","N","D","A","ND2 A16 i","ND2 A",2018-06-08,68,1,TRUE
"ND2","A17","d","N","D","A","ND2 A17 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A17","i","N","D","A","ND2 A17 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A18","d","N","D","A","ND2 A18 d","ND2 A",2018-07-05,95,1,TRUE
"ND2","A18","i","N","D","A","ND2 A18 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A19","d","N","D","A","ND2 A19 d","ND2 A",2018-06-08,68,1,TRUE
"ND2","A19","i","N","D","A","ND2 A19 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","A20","d","N","D","A","ND2 A20 d","ND2 A",2019-01-28,302,0,FALSE
"ND2","A20","i","N","D","A","ND2 A20 i","ND2 A",2019-01-28,302,0,FALSE
"ND2","B01","d","N","D","B","ND2 B01 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B01","i","N","D","B","ND2 B01 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B02","d","N","D","B","ND2 B02 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B02","i","N","D","B","ND2 B02 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B03","d","N","D","B","ND2 B03 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B03","i","N","D","B","ND2 B03 i","ND2 B",2018-06-08,68,1,TRUE
"ND2","B04","d","N","D","B","ND2 B04 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B04","i","N","D","B","ND2 B04 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B05","d","N","D","B","ND2 B05 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B05","i","N","D","B","ND2 B05 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B06","d","N","D","B","ND2 B06 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B06","i","N","D","B","ND2 B06 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B07","d","N","D","B","ND2 B07 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B07","i","N","D","B","ND2 B07 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B08","d","N","D","B","ND2 B08 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B08","i","N","D","B","ND2 B08 i","ND2 B",2018-06-08,68,1,TRUE
"ND2","B09","d","N","D","B","ND2 B09 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B09","i","N","D","B","ND2 B09 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B10","d","N","D","B","ND2 B10 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B10","i","N","D","B","ND2 B10 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B11","d","N","D","B","ND2 B11 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B11","i","N","D","B","ND2 B11 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B12","d","N","D","B","ND2 B12 d","ND2 B",2018-07-05,95,1,TRUE
"ND2","B12","i","N","D","B","ND2 B12 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B13","d","N","D","B","ND2 B13 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B13","i","N","D","B","ND2 B13 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B14","d","N","D","B","ND2 B14 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B14","i","N","D","B","ND2 B14 i","ND2 B",2018-06-08,68,1,TRUE
"ND2","B15","d","N","D","B","ND2 B15 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B15","i","N","D","B","ND2 B15 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B16","d","N","D","B","ND2 B16 d","ND2 B",2018-05-22,51,1,TRUE
"ND2","B16","i","N","D","B","ND2 B16 i","ND2 B",2018-07-05,95,1,TRUE
"ND2","B17","d","N","D","B","ND2 B17 d","ND2 B",2018-05-22,51,1,TRUE
"ND2","B17","i","N","D","B","ND2 B17 i","ND2 B",2018-05-22,51,1,TRUE
"ND2","B18","d","N","D","B","ND2 B18 d","ND2 B",2019-01-28,302,0,FALSE
"ND2","B18","i","N","D","B","ND2 B18 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B19","d","N","D","B","ND2 B19 d","ND2 B",2018-06-08,68,1,TRUE
"ND2","B19","i","N","D","B","ND2 B19 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","B20","d","N","D","B","ND2 B20 d","ND2 B",2018-06-08,68,1,TRUE
"ND2","B20","i","N","D","B","ND2 B20 i","ND2 B",2019-01-28,302,0,FALSE
"ND2","C01","d","N","D","C","ND2 C01 d","ND2 C",2018-06-08,68,1,TRUE
"ND2","C01","i","N","D","C","ND2 C01 i","ND2 C",2018-06-08,68,1,TRUE
"ND2","C02","d","N","D","C","ND2 C02 d","ND2 C",2018-07-27,117,1,TRUE
"ND2","C02","i","N","D","C","ND2 C02 i","ND2 C",2018-06-08,68,1,TRUE
"ND2","C03","d","N","D","C","ND2 C03 d","ND2 C",2019-01-28,302,0,FALSE
"ND2","C03","i","N","D","C","ND2 C03 i","ND2 C",2019-01-28,302,0,FALSE
"ND2","C04","d","N","D","C","ND2 C04 d","ND2 C",2019-01-28,302,0,FALSE
"ND2","C04","i","N","D","C","ND2 C04 i","ND2 C",2018-08-28,149,1,TRUE
"ND2","C05","d","N","D","C","ND2 C05 d","ND2 C",2018-06-08,68,1,TRUE
"ND2","C05","i","N","D","C","ND2 C05 i","ND2 C",2019-01-28,302,0,FALSE
"ND2","C06","d","N","D","C","ND2 C06 d","ND2 C",2018-06-08,68,1,TRUE
"ND2","C06","i","N","D","C","ND2 C06 i","ND2 C",2018-07-05,95,1,TRUE
"ND2","C07","d","N","D","C","ND2 C07 d","ND2 C",2018-06-08,68,1,TRUE
"ND2","C07","i","N","D","C","ND2 C07 i","ND2 C",2018-06-08,68,1,TRUE
"ND2","C08","d","N","D","C","ND2 C08 d","ND2 C",2019-01-28,302,0,FALSE
